(8018, 'ㆍ채식뷔페 (평일점심', 'zh-TW')
(8018, '주말)', 'zh-TW')
(8018, '※ 메뉴의 가격은 변동이 많아 표기하지 않으므로 방문 문의요망', 'zh-TW')
(8018, '메뉴는 음식점 사정에 따라 변동될 수 있으므로 참고 요망', 'zh-TW')
(8019, '소바', 'zh-TW')
(8020, '반갈비탕', 'zh-TW')
(8020, '갈비전골', 'zh-TW')
(8021, '새우메밀전', 'zh-TW')
(8022, '교동 떡갈비', 'zh-TW')
(8022, '육회', 'zh-TW')
(8024, '땅콩크림라떼', 'zh-TW')
(8024, '에스프레소', 'zh-TW')
(8024, '참기름라떼', 'zh-TW')
(8025, '만새전', 'zh-TW')
(8025, '고추만새전', 'zh-TW')
(8025, '묵은지 김치전', 'zh-TW')
(8026, '백반', 'zh-TW')
(8027, '함흥냉면', 'zh-TW')
(8027, '김치찌개', 'zh-TW')
(8027, '우거지', 'zh-TW')
(8028, '화덕피자', 'zh-TW')
(8028, '파스타', 'zh-TW')
(8029, '설렁탕', 'zh-TW')
(8029, '수육', 'zh-TW')
(8031, '양갈비', 'zh-TW')
(8031, '오뎅탕', 'zh-TW')
(8034, '산채 정식', 'zh-TW')
(8035, '원조 감자탕', 'zh-TW')
(8035, '사골로만 감자탕', 'zh-TW')
(8036, '안심', 'zh-TW')
(8036, '갈비탕', 'zh-TW')
(8036, '한우육회비빔밥', 'zh-TW')
(8036, '전주비빔밥', 'zh-TW')
(8037, '김치만두', 'zh-TW')
(8038, '암뽕순대국밥', 'zh-TW')
(8038, '피순대', 'zh-TW')
(8038, '잡채순대', 'zh-TW')
(8039, '황포묵무침', 'zh-TW')
(8039, '삼계탕', 'zh-TW')
(8001, '삭힌 홍어', 'de')
(8002, '갈비탕', 'de')
(8006, '불고기전골', 'de')
(8007, '낙지볶음', 'de')
(8009, '약선반찬', 'de')
(8011, '장어탕', 'de')
(8012, '숙회', 'de')
(8013, '전복해물탕', 'de')
(8013, '해물탕', 'de')
(8014, '육사시미', 'de')
(8014, '두툼한생목살', 'de')
(8014, '갈비전골', 'de')
(8018, 'ㆍ채식뷔페 (평일점심', 'de')
(8018, '주말)', 'de')
(8018, '※ 메뉴의 가격은 변동이 많아 표기하지 않으므로 방문 문의요망', 'de')
(8018, '메뉴는 음식점 사정에 따라 변동될 수 있으므로 참고 요망', 'de')
(8019, '소바', 'de')
(8020, '반갈비탕', 'de')
(8020, '갈비전골', 'de')
(8021, '새우메밀전', 'de')
(8022, '교동 떡갈비', 'de')
(8022, '육회', 'de')
(8024, '땅콩크림라떼', 'de')
(8024, '에스프레소', 'de')
(8024, '참기름라떼', 'de')
(8025, '만새전', 'de')
(8025, '고추만새전', 'de')
(8025, '묵은지 김치전', 'de')
(8026, '백반', 'de')
(8027, '함흥냉면', 'de')
(8027, '김치찌개', 'de')
(8027, '우거지', 'de')
(8028, '화덕피자', 'de')
(8028, '파스타', 'de')
(8029, '설렁탕', 'de')
(8029, '수육', 'de')
(8031, '양갈비', 'de')
(8031, '오뎅탕', 'de')
(8034, '산채 정식', 'de')
(8035, '원조 감자탕', 'de')
(8035, '사골로만 감자탕', 'de')
(8036, '안심', 'de')
(8036, '갈비탕', 'de')
(8036, '한우육회비빔밥', 'de')
(8036, '전주비빔밥', 'de')
(8037, '김치만두', 'de')
(8038, '암뽕순대국밥', 'de')
(8038, '피순대', 'de')
(8038, '잡채순대', 'de')
(8039, '황포묵무침', 'de')
(8039, '삼계탕', 'de')
(8001, '삭힌 홍어', 'nl')
(8002, '갈비탕', 'nl')
(8006, '불고기전골', 'nl')
(8007, '낙지볶음', 'nl')
(8009, '약선반찬', 'nl')
(8011, '장어탕', 'nl')
(8012, '숙회', 'nl')
(8013, '전복해물탕', 'nl')
(8013, '해물탕', 'nl')
(8014, '육사시미', 'nl')
(8014, '두툼한생목살', 'nl')
(8014, '갈비전골', 'nl')
(8018, 'ㆍ채식뷔페 (평일점심', 'nl')
(8018, '주말)', 'nl')
(8018, '※ 메뉴의 가격은 변동이 많아 표기하지 않으므로 방문 문의요망', 'nl')
(8018, '메뉴는 음식점 사정에 따라 변동될 수 있으므로 참고 요망', 'nl')
(8019, '소바', 'nl')
(8020, '반갈비탕', 'nl')
(8020, '갈비전골', 'nl')
(8021, '새우메밀전', 'nl')
(8022, '교동 떡갈비', 'nl')
(8022, '육회', 'nl')
(8024, '땅콩크림라떼', 'nl')
(8024, '에스프레소', 'nl')
(8024, '참기름라떼', 'nl')
(8025, '만새전', 'nl')
(8025, '고추만새전', 'nl')
(8025, '묵은지 김치전', 'nl')
(8026, '백반', 'nl')
(8027, '함흥냉면', 'nl')
(8027, '김치찌개', 'nl')
(8027, '우거지', 'nl')
(8028, '화덕피자', 'nl')
(8028, '파스타', 'nl')
(8029, '설렁탕', 'nl')
(8029, '수육', 'nl')
(8031, '양갈비', 'nl')
(8031, '오뎅탕', 'nl')
(8034, '산채 정식', 'nl')
(8035, '원조 감자탕', 'nl')
(8035, '사골로만 감자탕', 'nl')
(8036, '안심', 'nl')
(8036, '갈비탕', 'nl')
(8036, '한우육회비빔밥', 'nl')
(8036, '전주비빔밥', 'nl')
(8037, '김치만두', 'nl')
(8038, '암뽕순대국밥', 'nl')
(8038, '피순대', 'nl')
(8038, '잡채순대', 'nl')
(8039, '황포묵무침', 'nl')
(8039, '삼계탕', 'nl')
(8001, '삭힌 홍어', 'sv')
(8002, '갈비탕', 'sv')
(8006, '불고기전골', 'sv')
(8007, '낙지볶음', 'sv')
(8009, '약선반찬', 'sv')
(8011, '장어탕', 'sv')
(8012, '숙회', 'sv')
(8013, '전복해물탕', 'sv')
(8013, '해물탕', 'sv')
(8014, '육사시미', 'sv')
(8014, '두툼한생목살', 'sv')
(8014, '갈비전골', 'sv')
(8018, 'ㆍ채식뷔페 (평일점심', 'sv')
(8018, '주말)', 'sv')
(8018, '※ 메뉴의 가격은 변동이 많아 표기하지 않으므로 방문 문의요망', 'sv')
(8018, '메뉴는 음식점 사정에 따라 변동될 수 있으므로 참고 요망', 'sv')
(8019, '소바', 'sv')
(8020, '반갈비탕', 'sv')
(8020, '갈비전골', 'sv')
(8021, '새우메밀전', 'sv')
(8022, '교동 떡갈비', 'sv')
(8022, '육회', 'sv')
(8024, '땅콩크림라떼', 'sv')
(8024, '에스프레소', 'sv')
(8024, '참기름라떼', 'sv')
(8025, '만새전', 'sv')
(8025, '고추만새전', 'sv')
(8025, '묵은지 김치전', 'sv')
(8026, '백반', 'sv')
(8027, '함흥냉면', 'sv')
(8027, '김치찌개', 'sv')
(8027, '우거지', 'sv')
(8028, '화덕피자', 'sv')
(8028, '파스타', 'sv')
(8029, '설렁탕', 'sv')
(8029, '수육', 'sv')
(8031, '양갈비', 'sv')
(8031, '오뎅탕', 'sv')
(8034, '산채 정식', 'sv')
(8035, '원조 감자탕', 'sv')
(8035, '사골로만 감자탕', 'sv')
(8036, '안심', 'sv')
(8036, '갈비탕', 'sv')
(8036, '한우육회비빔밥', 'sv')
(8036, '전주비빔밥', 'sv')
(8037, '김치만두', 'sv')
(8038, '암뽕순대국밥', 'sv')
(8038, '피순대', 'sv')
(8038, '잡채순대', 'sv')
(8039, '황포묵무침', 'sv')
(8039, '삼계탕', 'sv')
(8001, '삭힌 홍어', 'fr')
(8002, '갈비탕', 'fr')
(8006, '불고기전골', 'fr')
(8007, '낙지볶음', 'fr')
(8009, '약선반찬', 'fr')
(8011, '장어탕', 'fr')
(8012, '숙회', 'fr')
(8013, '전복해물탕', 'fr')
(8013, '해물탕', 'fr')
(8014, '육사시미', 'fr')
(8014, '두툼한생목살', 'fr')
(8014, '갈비전골', 'fr')
(8018, 'ㆍ채식뷔페 (평일점심', 'fr')
(8018, '주말)', 'fr')
(8018, '※ 메뉴의 가격은 변동이 많아 표기하지 않으므로 방문 문의요망', 'fr')
(8018, '메뉴는 음식점 사정에 따라 변동될 수 있으므로 참고 요망', 'fr')
(8019, '소바', 'fr')
(8020, '반갈비탕', 'fr')
(8020, '갈비전골', 'fr')
(8021, '새우메밀전', 'fr')
(8022, '교동 떡갈비', 'fr')
(8022, '육회', 'fr')
(8024, '땅콩크림라떼', 'fr')
(8024, '에스프레소', 'fr')
(8024, '참기름라떼', 'fr')
(8025, '만새전', 'fr')
(8025, '고추만새전', 'fr')
(8025, '묵은지 김치전', 'fr')
(8026, '백반', 'fr')
(8027, '함흥냉면', 'fr')
(8027, '김치찌개', 'fr')
(8027, '우거지', 'fr')
(8028, '화덕피자', 'fr')
(8028, '파스타', 'fr')
(8029, '설렁탕', 'fr')
(8029, '수육', 'fr')
(8031, '양갈비', 'fr')
(8031, '오뎅탕', 'fr')
(8034, '산채 정식', 'fr')
(8035, '원조 감자탕', 'fr')
(8035, '사골로만 감자탕', 'fr')
(8036, '안심', 'fr')
(8036, '갈비탕', 'fr')
(8036, '한우육회비빔밥', 'fr')
(8036, '전주비빔밥', 'fr')
(8037, '김치만두', 'fr')
(8038, '암뽕순대국밥', 'fr')
(8038, '피순대', 'fr')
(8038, '잡채순대', 'fr')
(8039, '황포묵무침', 'fr')
(8039, '삼계탕', 'fr')
(8001, '삭힌 홍어', 'it')
(8002, '갈비탕', 'it')
(8006, '불고기전골', 'it')
(8007, '낙지볶음', 'it')
(8009, '약선반찬', 'it')
(8011, '장어탕', 'it')
(8012, '숙회', 'it')
(8013, '전복해물탕', 'it')
(8013, '해물탕', 'it')
(8014, '육사시미', 'it')
(8014, '두툼한생목살', 'it')
(8014, '갈비전골', 'it')
(8018, 'ㆍ채식뷔페 (평일점심', 'it')
(8018, '주말)', 'it')
(8018, '※ 메뉴의 가격은 변동이 많아 표기하지 않으므로 방문 문의요망', 'it')
(8018, '메뉴는 음식점 사정에 따라 변동될 수 있으므로 참고 요망', 'it')
(8019, '소바', 'it')
(8020, '반갈비탕', 'it')
(8020, '갈비전골', 'it')
(8021, '새우메밀전', 'it')
(8022, '교동 떡갈비', 'it')
(8022, '육회', 'it')
(8024, '땅콩크림라떼', 'it')
(8024, '에스프레소', 'it')
(8024, '참기름라떼', 'it')
(8025, '만새전', 'it')
(8025, '고추만새전', 'it')
(8025, '묵은지 김치전', 'it')
(8026, '백반', 'it')
(8027, '함흥냉면', 'it')
(8027, '김치찌개', 'it')
(8027, '우거지', 'it')
(8028, '화덕피자', 'it')
(8028, '파스타', 'it')
(8029, '설렁탕', 'it')
(8029, '수육', 'it')
(8031, '양갈비', 'it')
(8031, '오뎅탕', 'it')
(8034, '산채 정식', 'it')
(8035, '원조 감자탕', 'it')
(8035, '사골로만 감자탕', 'it')
(8036, '안심', 'it')
(8036, '갈비탕', 'it')
(8036, '한우육회비빔밥', 'it')
(8036, '전주비빔밥', 'it')
(8037, '김치만두', 'it')
(8038, '암뽕순대국밥', 'it')
(8038, '피순대', 'it')
(8038, '잡채순대', 'it')
(8039, '황포묵무침', 'it')
(8039, '삼계탕', 'it')
(8001, '삭힌 홍어', 'es')
(8002, '갈비탕', 'es')
(8006, '불고기전골', 'es')
(8007, '낙지볶음', 'es')
(8009, '약선반찬', 'es')
(8011, '장어탕', 'es')
(8012, '숙회', 'es')
(8013, '전복해물탕', 'es')
(8013, '해물탕', 'es')
(8014, '육사시미', 'es')
(8014, '두툼한생목살', 'es')
(8014, '갈비전골', 'es')
(8018, 'ㆍ채식뷔페 (평일점심', 'es')
(8018, '주말)', 'es')
(8018, '※ 메뉴의 가격은 변동이 많아 표기하지 않으므로 방문 문의요망', 'es')
(8018, '메뉴는 음식점 사정에 따라 변동될 수 있으므로 참고 요망', 'es')
(8019, '소바', 'es')
(8020, '반갈비탕', 'es')
(8020, '갈비전골', 'es')
(8021, '새우메밀전', 'es')
(8022, '교동 떡갈비', 'es')
(8022, '육회', 'es')
(8024, '땅콩크림라떼', 'es')
(8024, '에스프레소', 'es')
(8024, '참기름라떼', 'es')
(8025, '만새전', 'es')
(8025, '고추만새전', 'es')
(8025, '묵은지 김치전', 'es')
(8026, '백반', 'es')
(8027, '함흥냉면', 'es')
(8027, '김치찌개', 'es')
(8027, '우거지', 'es')
(8028, '화덕피자', 'es')
(8028, '파스타', 'es')
(8029, '설렁탕', 'es')
(8029, '수육', 'es')
(8031, '양갈비', 'es')
(8031, '오뎅탕', 'es')
(8034, '산채 정식', 'es')
(8035, '원조 감자탕', 'es')
(8035, '사골로만 감자탕', 'es')
(8036, '안심', 'es')
(8036, '갈비탕', 'es')
(8036, '한우육회비빔밥', 'es')
(8036, '전주비빔밥', 'es')
(8037, '김치만두', 'es')
(8038, '암뽕순대국밥', 'es')
(8038, '피순대', 'es')
(8038, '잡채순대', 'es')
(8039, '황포묵무침', 'es')
(8039, '삼계탕', 'es')
(8001, '삭힌 홍어', 'pt')
(8002, '갈비탕', 'pt')
(8006, '불고기전골', 'pt')
(8007, '낙지볶음', 'pt')
(8009, '약선반찬', 'pt')
(8011, '장어탕', 'pt')
(8012, '숙회', 'pt')
(8013, '전복해물탕', 'pt')
(8013, '해물탕', 'pt')
(8014, '육사시미', 'pt')
(8014, '두툼한생목살', 'pt')
(8014, '갈비전골', 'pt')
(8018, 'ㆍ채식뷔페 (평일점심', 'pt')
(8018, '주말)', 'pt')
(8018, '※ 메뉴의 가격은 변동이 많아 표기하지 않으므로 방문 문의요망', 'pt')
(8018, '메뉴는 음식점 사정에 따라 변동될 수 있으므로 참고 요망', 'pt')
(8019, '소바', 'pt')
(8020, '반갈비탕', 'pt')
(8020, '갈비전골', 'pt')
(8021, '새우메밀전', 'pt')
(8022, '교동 떡갈비', 'pt')
(8022, '육회', 'pt')
(8024, '땅콩크림라떼', 'pt')
(8024, '에스프레소', 'pt')
(8024, '참기름라떼', 'pt')
(8025, '만새전', 'pt')
(8025, '고추만새전', 'pt')
(8025, '묵은지 김치전', 'pt')
(8026, '백반', 'pt')
(8027, '함흥냉면', 'pt')
(8027, '김치찌개', 'pt')
(8027, '우거지', 'pt')
(8028, '화덕피자', 'pt')
(8028, '파스타', 'pt')
(8029, '설렁탕', 'pt')
(8029, '수육', 'pt')
(8031, '양갈비', 'pt')
(8031, '오뎅탕', 'pt')
(8034, '산채 정식', 'pt')
(8035, '원조 감자탕', 'pt')
(8035, '사골로만 감자탕', 'pt')
(8036, '안심', 'pt')
(8036, '갈비탕', 'pt')
(8036, '한우육회비빔밥', 'pt')
(8036, '전주비빔밥', 'pt')
(8037, '김치만두', 'pt')
(8038, '암뽕순대국밥', 'pt')
(8038, '피순대', 'pt')
(8038, '잡채순대', 'pt')
(8039, '황포묵무침', 'pt')
(8039, '삼계탕', 'pt')
(8001, '삭힌 홍어', 'ru')
(8002, '갈비탕', 'ru')
(8006, '불고기전골', 'ru')
(8007, '낙지볶음', 'ru')
(8009, '약선반찬', 'ru')
(8011, '장어탕', 'ru')
(8012, '숙회', 'ru')
(8013, '전복해물탕', 'ru')
(8013, '해물탕', 'ru')
(8014, '육사시미', 'ru')
(8014, '두툼한생목살', 'ru')
(8014, '갈비전골', 'ru')
(8018, 'ㆍ채식뷔페 (평일점심', 'ru')
(8018, '주말)', 'ru')
(8018, '※ 메뉴의 가격은 변동이 많아 표기하지 않으므로 방문 문의요망', 'ru')
(8018, '메뉴는 음식점 사정에 따라 변동될 수 있으므로 참고 요망', 'ru')
(8019, '소바', 'ru')
(8020, '반갈비탕', 'ru')
(8020, '갈비전골', 'ru')
(8021, '새우메밀전', 'ru')
(8022, '교동 떡갈비', 'ru')
(8022, '육회', 'ru')
(8024, '땅콩크림라떼', 'ru')
(8024, '에스프레소', 'ru')
(8024, '참기름라떼', 'ru')
(8025, '만새전', 'ru')
(8025, '고추만새전', 'ru')
(8025, '묵은지 김치전', 'ru')
(8026, '백반', 'ru')
(8027, '함흥냉면', 'ru')
(8027, '김치찌개', 'ru')
(8027, '우거지', 'ru')
(8028, '화덕피자', 'ru')
(8028, '파스타', 'ru')
(8029, '설렁탕', 'ru')
(8029, '수육', 'ru')
(8031, '양갈비', 'ru')
(8031, '오뎅탕', 'ru')
(8034, '산채 정식', 'ru')
(8035, '원조 감자탕', 'ru')
(8035, '사골로만 감자탕', 'ru')
(8036, '안심', 'ru')
(8036, '갈비탕', 'ru')
(8036, '한우육회비빔밥', 'ru')
(8036, '전주비빔밥', 'ru')
(8037, '김치만두', 'ru')
(8038, '암뽕순대국밥', 'ru')
(8038, '피순대', 'ru')
(8038, '잡채순대', 'ru')
(8039, '황포묵무침', 'ru')
(8039, '삼계탕', 'ru')
(8001, '삭힌 홍어', 'pl')
(8002, '갈비탕', 'pl')
(8006, '불고기전골', 'pl')
(8007, '낙지볶음', 'pl')
(8009, '약선반찬', 'pl')
(8011, '장어탕', 'pl')
(8012, '숙회', 'pl')
(8013, '전복해물탕', 'pl')
(8013, '해물탕', 'pl')
(8014, '육사시미', 'pl')
(8014, '두툼한생목살', 'pl')
(8014, '갈비전골', 'pl')
(8018, 'ㆍ채식뷔페 (평일점심', 'pl')
(8018, '주말)', 'pl')
(8018, '※ 메뉴의 가격은 변동이 많아 표기하지 않으므로 방문 문의요망', 'pl')
(8018, '메뉴는 음식점 사정에 따라 변동될 수 있으므로 참고 요망', 'pl')
(8019, '소바', 'pl')
(8020, '반갈비탕', 'pl')
(8020, '갈비전골', 'pl')
(8021, '새우메밀전', 'pl')
(8022, '교동 떡갈비', 'pl')
(8022, '육회', 'pl')
(8024, '땅콩크림라떼', 'pl')
(8024, '에스프레소', 'pl')
(8024, '참기름라떼', 'pl')
(8025, '만새전', 'pl')
(8025, '고추만새전', 'pl')
(8025, '묵은지 김치전', 'pl')
(8026, '백반', 'pl')
(8027, '함흥냉면', 'pl')
(8027, '김치찌개', 'pl')
(8027, '우거지', 'pl')
(8028, '화덕피자', 'pl')
(8028, '파스타', 'pl')
(8029, '설렁탕', 'pl')
(8029, '수육', 'pl')
(8031, '양갈비', 'pl')
(8031, '오뎅탕', 'pl')
(8034, '산채 정식', 'pl')
(8035, '원조 감자탕', 'pl')
(8035, '사골로만 감자탕', 'pl')
(8036, '안심', 'pl')
(8036, '갈비탕', 'pl')
(8036, '한우육회비빔밥', 'pl')
(8036, '전주비빔밥', 'pl')
(8037, '김치만두', 'pl')
(8038, '암뽕순대국밥', 'pl')
(8038, '피순대', 'pl')
(8038, '잡채순대', 'pl')
(8039, '황포묵무침', 'pl')
(8039, '삼계탕', 'pl')
(8001, '삭힌 홍어', 'cs')
(8002, '갈비탕', 'cs')
